,Add,Temp,val,Day,,
493,Cellulose- 90,-2,483.0348056,6,,
494,Cellulose- 90,-2,483.0348056,6,,
495,Cellulose- 90,-2,483.0348056,6,,
496,Cellulose- 90,-2,567.0607401,7,,
497,Cellulose- 90,-2,567.0607401,7,,
498,Cellulose- 90,-2,567.0607401,7,,
499,Cellulose- 90,-2,633.6031971,8,,
500,Cellulose- 90,-2,633.6031971,8,,
501,Cellulose- 90,-2,633.6031971,8,,
502,Cellulose- 90,-2,703.4763056,9,,
503,Cellulose- 90,-2,703.4763056,9,,
504,Cellulose- 90,-2,703.4763056,9,,
505,Cellulose- 90,-2,771.2788449,10,,
506,Cellulose- 90,-2,771.2788449,10,,
507,Cellulose- 90,-2,771.2788449,10,,
508,Cellulose- 90,2,0,1,,
509,Cellulose- 90,2,0,1,,
510,Cellulose- 90,2,0,1,,
511,Cellulose- 90,2,0,1,,
512,Cellulose- 90,2,929.9249279,2,,
513,Cellulose- 90,2,929.9249279,2,,
514,Cellulose- 90,2,929.9249279,2,,
515,Cellulose- 90,2,929.9249279,2,,
516,Cellulose- 90,2,2214.700782,3,,
517,Cellulose- 90,2,2214.700782,3,,
518,Cellulose- 90,2,2214.700782,3,,
519,Cellulose- 90,2,2214.700782,3,,
520,Cellulose- 90,2,4575.71608,4,,
521,Cellulose- 90,2,4575.71608,4,,
522,Cellulose- 90,2,4575.71608,4,,
523,Cellulose- 90,2,4575.71608,4,,
524,Cellulose- 90,2,7397.588192,5,,
525,Cellulose- 90,2,7397.588192,5,,
526,Cellulose- 90,2,7397.588192,5,,
527,Cellulose- 90,2,7397.588192,5,,
528,Cellulose- 90,2,8827.135424,6,,
529,Cellulose- 90,2,8827.135424,6,,
530,Cellulose- 90,2,8827.135424,6,,
531,Cellulose- 90,2,8827.135424,6,,
532,Cellulose- 90,2,9261.799654,7,,
533,Cellulose- 90,2,9261.799654,7,,
534,Cellulose- 90,2,9261.799654,7,,
535,Cellulose- 90,2,9261.799654,7,,
536,Cellulose- 90,2,9710.026049,8,,
537,Cellulose- 90,2,9710.026049,8,,
538,Cellulose- 90,2,9710.026049,8,,
539,Cellulose- 90,2,9710.026049,8,,
540,Cellulose- 90,2,10160.6842,9,,
541,Cellulose- 90,2,10160.6842,9,,
542,Cellulose- 90,2,10160.6842,9,,
543,Cellulose- 90,2,10160.6842,9,,
544,Cellulose- 90,6,0,1,,
545,Cellulose- 90,6,0,1,,
546,Cellulose- 90,6,0,1,,
547,Cellulose- 90,6,0,1,,
548,Cellulose- 90,6,2508.933001,2,,
549,Cellulose- 90,6,2508.933001,2,,
550,Cellulose- 90,6,2508.933001,2,,
551,Cellulose- 90,6,2508.933001,2,,
552,Cellulose- 90,6,4751.477099,3,,
553,Cellulose- 90,6,4751.477099,3,,
554,Cellulose- 90,6,4751.477099,3,,
555,Cellulose- 90,6,4751.477099,3,,
556,Cellulose- 90,6,7494.950763,4,,
557,Cellulose- 90,6,7494.950763,4,,
558,Cellulose- 90,6,7494.950763,4,,
559,Cellulose- 90,6,7494.950763,4,,
560,Cellulose- 90,6,9822.775403,5,,
561,Cellulose- 90,6,9822.775403,5,,
562,Cellulose- 90,6,9822.775403,5,,
563,Cellulose- 90,6,9822.775403,5,,
564,Cellulose- 90,6,11219.93647,6,,
565,Cellulose- 90,6,11219.93647,6,,
566,Cellulose- 90,6,11219.93647,6,,
567,Cellulose- 90,6,11219.93647,6,,
568,Cellulose- 90,6,12209.30968,7,,
569,Cellulose- 90,6,12209.30968,7,,
570,Cellulose- 90,6,12209.30968,7,,
571,Cellulose- 90,6,12209.30968,7,,
572,Cellulose- 90,6,12763.70952,8,,
573,Cellulose- 90,6,12763.70952,8,,
574,Cellulose- 90,6,12763.70952,8,,
575,Cellulose- 90,6,12763.70952,8,,
576,Cellulose- 90,6,13015.05136,9,,
577,Cellulose- 90,6,13015.05136,9,,
578,Cellulose- 90,6,13015.05136,9,,
579,Cellulose- 90,6,13015.05136,9,,
580,Cellulose- 90,10,0,1,,
581,Cellulose- 90,10,0,1,,
582,Cellulose- 90,10,0,1,,
583,Cellulose- 90,10,4670.504887,2,,
584,Cellulose- 90,10,4670.504887,2,,
585,Cellulose- 90,10,4670.504887,2,,
586,Cellulose- 90,10,8652.667554,3,,
587,Cellulose- 90,10,8652.667554,3,,
588,Cellulose- 90,10,8652.667554,3,,
589,Cellulose- 90,10,12401.12455,4,,
590,Cellulose- 90,10,12401.12455,4,,
