ID,Date,Add,Temp,BG,AFS,CBH,LAP,NAG,PHOS,BX,per,pox,NETPEROX,EndoC,EndoX
FN6-3,,None,-6,156.0371925,44.88247462,30.26022079,376.7430389,152.4222096,677.3781868,337.5147155,3.892398376,-2.409814808,6.302213184,,
FN6-4,,None,-6,128.6998059,74.28604935,20.51121379,336.1553055,98.50301033,505.1870322,226.7860642,4.279298488,-1.48512585,5.764424338,,
AN2-1,,Cellobiose,-2,227.9346546,99.66694306,20.6735837,941.1112056,206.9913783,761.0342653,38.40655956,3.446698243,-10.84869225,14.29539049,,
AN2-2,,Cellobiose,-2,245.8846103,41.93161959,19.73439992,966.383015,197.9045551,857.5166035,38.0677757,9.928804904,-0.745730525,10.67453543,,
AN2-3,,Cellobiose,-2,161.5061457,45.30236274,25.81671164,607.9018122,132.07907,676.3075687,26.16541539,4.386217224,4.44767179,-0.061454566,,
AN2-4,,Cellobiose,-2,142.3647138,73.30815131,13.30300386,827.1323801,117.6607337,644.532194,18.75465389,5.432001094,-12.35660601,17.78860711,,
CN2-1,,Coloidal cellulose,-2,194.1662866,89.98952893,12.57651774,921.7569993,246.6110091,933.4867069,33.53021582,-2.848015645,-0.854299094,-1.993716551,,
CN2-2,,Coloidal cellulose,-2,169.3706594,50.77440843,8.164787657,803.9468136,156.5746753,633.8853151,25.6338097,13.98633411,-9.386783477,23.37311758,,
CN2-3,,Coloidal cellulose,-2,243.8183715,54.93852909,10.71074069,812.708975,201.6690828,884.0216648,45.67188245,-15.14668367,-17.91274461,2.766060934,,
CN2-4,,Coloidal cellulose,-2,210.1396937,55.5831921,-0.41758293,772.3842599,195.4751546,787.3608039,30.17488931,16.05294424,-9.408567605,25.46151184,,
DN2-1,,Cellulose- 20,-2,172.2170671,84.45407929,6.834413607,833.9626309,175.8685588,583.6276638,37.98218301,7.882076301,4.82197609,3.060100211,,
DN2-2,,Cellulose- 20,-2,163.9016246,78.35480361,-4.528786239,753.0443506,142.0131533,528.1458584,30.42598888,7.625341786,-2.637672975,10.26301476,,
DN2-3,,Cellulose- 20,-2,108.4136531,97.35202103,-1.776956744,551.0542036,124.3660479,428.7626263,20.79217792,3.179214229,2.46629665,0.712917579,,
DN2-4,,Cellulose- 20,-2,124.8495556,41.17926266,5.880977758,626.0991899,125.6582377,510.0756456,21.16412395,-1.192021697,-2.080144462,0.888122765,,
EN2-1,,Cellulose- 90,-2,178.6251604,95.03439483,15.88587999,708.5467942,175.2825603,541.4354702,38.39787818,-7.058695474,-10.08877486,3.030079386,,
EN2-2,,Cellulose- 90,-2,188.7700743,98.1468588,-17.30378514,730.0074227,163.6197952,508.2979198,26.99241643,6.159718634,2.280496235,3.879222399,,
EN2-3,,Cellulose- 90,-2,239.6497404,82.78897947,12.05206749,800.2375053,218.7585531,533.5608165,42.56218998,2.912943729,1.94261437,0.970329359,,
EN2-4,,Cellulose- 90,-2,171.418635,53.93689849,5.545468828,727.1405095,138.6465902,462.816011,32.6390194,-9.469085135,0.132980317,-9.602065453,,
FN2-1,,None,-2,281.127726,66.2325417,20.48378994,1019.756858,234.1228152,781.7649306,40.71594928,-1.956127739,3.764380851,-5.72050859,,
FN2-2,,None,-2,225.4645531,53.8306148,23.98047955,948.3767788,177.5886447,647.3420632,27.97191351,3.18403343,-0.442832304,3.626865734,,
FN2-3,,None,-2,229.0495279,111.4279013,9.666477706,874.8912399,297.3035877,688.2416102,57.56481339,-4.613139822,-8.96744403,4.354304208,,
FN2-4,,None,-2,110.6815676,44.25250087,15.59038567,565.7171016,128.2034469,484.7748724,24.46437901,7.909125031,-1.566686697,9.475811728,,
BN2-1,,Cellotetraose,-2,228.0211938,86.99979157,9.241427154,1027.63492,240.185874,692.4742074,33.61516612,3.668902554,-2.706781012,6.375683566,,
BN2-2,,Cellotetraose,-2,179.9348612,53.17969866,7.049835754,884.819146,175.0020118,536.9135431,24.34465234,-5.985794458,-1.368405572,-4.617388886,,
BN2-3,,Cellotetraose,-2,219.2905859,71.74117865,20.62600274,860.3478136,197.9600241,679.7485617,48.41439586,-0.025862176,4.074729522,-4.100591698,,
BN2-4,,Cellotetraose,-2,225.6462914,110.973002,39.8626163,919.4723988,194.2182147,719.8036585,48.46872512,16.32465451,8.565119352,7.759535154,,
A2-1,,Cellobiose,2,161.6048067,102.9919559,13.11660767,403.4526925,104.1972624,1143.518062,29.09531839,-10.96321779,-7.449365935,-3.513851856,,
A2-2,,Cellobiose,2,127.602608,83.23452787,14.2432232,288.5087689,95.59237048,956.2085258,22.17846582,-8.376614003,0.074347756,-8.45096176,,
A2-3,,Cellobiose,2,206.0856202,68.57708598,12.26891877,344.4794326,188.96589,1227.582029,34.52719075,3.127627712,-0.527252863,3.654880576,,
A2-4,,Cellobiose,2,152.8139623,99.90802815,7.342950064,285.9818636,158.2019025,1094.447343,24.67051731,17.8404544,5.772996757,12.06745764,,
C2-1,,Coloidal cellulose,2,165.1932065,54.16845406,27.84627703,293.876784,101.7751625,1069.221393,30.90851996,13.80527272,5.07431486,8.730957861,,
C2-2,,Coloidal cellulose,2,125.8648087,106.5007891,8.562657126,260.9201075,73.6770884,899.1674828,26.03429827,6.819071011,-0.752065208,7.571136219,,
C2-3,,Coloidal cellulose,2,359.1587842,44.88247462,27.43898882,349.0649307,125.4185923,1550.518156,30.50197518,7.714364425,-16.1197143,23.83407873,,
C2-4,,Coloidal cellulose,2,312.9808508,74.28604935,11.90607989,310.9878376,115.1838496,1043.852865,18.8591183,4.079521005,1.73362572,2.345895285,,
D2-1,,Cellulose- 20,2,134.8109383,99.66694306,9.557003282,313.6919545,105.8922043,1071.59115,25.54051506,32.95538854,21.27377813,11.68161041,,
D2-2,,Cellulose- 20,2,166.7375786,41.93161959,9.709035578,327.7043811,113.028783,1130.762167,127.9154002,-6.689442282,-21.02365784,14.33421556,,
D2-3,,Cellulose- 20,2,262.5837642,45.30236274,70.49902269,426.8175441,130.4204713,1746.106201,27.10696058,-3.364553839,-13.56660664,10.2020528,,
D2-4,,Cellulose- 20,2,176.1542927,73.30815131,61.45300926,316.36236,121.9447181,1146.640916,25.8404364,-4.723602741,9.573871925,-14.29747467,,
E2-1,,Cellulose- 90,2,12.07131563,89.98952893,9.625106692,307.5204719,137.2683871,1526.616619,186.2222885,15.26003477,-7.27914566,22.53918043,,
E2-2,,Cellulose- 90,2,4.260885485,50.77440843,2.53811128,322.3965429,128.7404265,1728.654167,181.629137,26.31089619,4.110291268,22.20060493,,
